Date,N,S,delta
1996-04,-0.20874660462141037,-0.26429029181599617,0.0555436871945858
1996-05,-0.2670369576662779,-0.24689474143087864,-0.020142216235399246
1996-06,-0.28931546956300735,-0.25360881350934505,-0.0357066560536623
1996-07,-0.2465895563364029,-0.21729178726673126,-0.02929776906967163
1996-08,-0.1672414317727089,-0.09216589853167534,-0.07507553324103355
1996-09,-0.10895107872784138,-0.08209479041397572,-0.02685628831386566
1996-10,-0.04303109832108021,0.051881466060876846,-0.09491256438195705
1996-11,-0.04577776417136192,-0.0024414807558059692,-0.043336283415555954
1996-12,-0.12329477816820145,-0.11352885514497757,-0.009765923023223877
1997-01,-0.1428266242146492,-0.08789330720901489,-0.05493331700563431
1997-02,-0.1434369944036007,-0.07507553324103355,-0.06836146116256714
1997-03,-0.19867549650371075,-0.18768883310258389,-0.010986663401126862
1997-04,-0.23041474632918835,-0.20752586424350739,-0.02288888208568096
1997-05,-0.20813623443245888,-0.19135105423629284,-0.01678518019616604
1997-06,-0.14069032855331898,-0.17303994856774807,0.03234962001442909
1997-07,-0.11413922533392906,-0.13977477326989174,0.025635547935962677
1997-08,-0.10254219174385071,-0.09582811966538429,-0.006714072078466415
1997-09,-0.07446516305208206,-0.047303689643740654,-0.027161473408341408
1997-10,-0.06439405493438244,-0.04058961756527424,-0.0238044373691082
1997-11,-0.16937772743403912,-0.15778069384396076,-0.011597033590078354
1997-12,-0.2670369576662779,-0.24475844576954842,-0.02227851189672947
1998-01,-0.2917569503188133,-0.258491775020957,-0.03326517529785633
1998-02,-0.23224585689604282,-0.2023377176374197,-0.029908139258623123
1998-03,-0.15900143422186375,-0.036927396431565285,-0.12207403779029846
1998-04,-0.1428266242146492,-0.06408886983990669,-0.07873775437474251
1998-05,-0.07812738418579102,-0.02533036284148693,-0.052797021344304085
1998-06,-0.09430219419300556,-0.0674459058791399,-0.02685628831386566
1998-07,-0.07873775437474251,-0.07477034814655781,-0.0039674062281847
1998-08,-0.04577776417136192,-0.004577776417136192,-0.04119998775422573
1998-09,0.0317392498254776,0.08239997550845146,-0.05066072568297386
1998-10,-0.0024414807558059692,0.012512588873505592,-0.014954069629311562
1998-11,-0.036927396431565285,-0.047914059832692146,0.010986663401126862
1998-12,-0.12604144401848316,-0.11841181665658951,-0.007629627361893654
1999-01,-0.19562364555895329,-0.17426068894565105,-0.02136295661330223
1999-02,-0.18555253744125366,-0.15350810252130032,-0.032044434919953346
1999-03,-0.13794366270303726,-0.15350810252130032,0.015564439818263054
1999-04,-0.1275673694908619,-0.13275551609694958,0.005188146606087685
1999-05,-0.14557329006493092,-0.1229895930737257,-0.022583696991205215
1999-06,-0.14709921553730965,-0.17303994856774807,0.025940733030438423
1999-07,-0.18280587159097195,-0.17242957837879658,-0.01037629321217537
1999-08,-0.11963255703449249,-0.11291848495602608,-0.006714072078466415
1999-09,-0.07751701399683952,-0.03265480510890484,-0.044862208887934685
1999-10,-0.032959990203380585,0.008545182645320892,-0.04150517284870148
1999-11,-0.07629627361893654,-0.0238044373691082,-0.05249183624982834
1999-12,-0.14496291987597942,-0.1422162540256977,-0.0027466658502817154
2000-01,-0.20081179216504097,-0.17792291007936,-0.02288888208568096
2000-02,-0.23377178236842155,-0.2261421550065279,-0.007629627361893654
2000-03,-0.20264290273189545,-0.18524735234677792,-0.01739555038511753
2000-04,-0.19196142442524433,-0.1785332802683115,-0.01342814415693283
2000-05,-0.17029328271746635,-0.18677327781915665,0.016479995101690292
2000-06,-0.10559404268860817,-0.1705984678119421,0.06500442512333393
2000-07,-0.13519699685275555,-0.14313180930912495,0.0079348124563694
2000-08,-0.14465773478150368,-0.08423108607530594,-0.06042664870619774
2000-09,-0.15228736214339733,-0.08575701154768467,-0.06653035059571266
2000-10,-0.09613330475986004,-0.008545182645320892,-0.08758812211453915
2000-11,-0.0872829370200634,-0.06012146361172199,-0.027161473408341408
2000-12,-0.17670216970145702,-0.16754661686718464,-0.009155552834272385
2001-01,-0.24170659482479095,-0.20050660707056522,-0.04119998775422573
2001-02,-0.23712881840765476,-0.16418958082795143,-0.07293923757970333
2001-03,-0.24079103954136372,-0.19806512631475925,-0.04272591322660446
2001-04,-0.22492141462862492,-0.1977599412202835,-0.027161473408341408
2001-05,-0.21301919594407082,-0.19165623933076859,-0.02136295661330223
2001-06,-0.20996734499931335,-0.2374340035021305,0.027466658502817154
2001-07,-0.19257179461419582,-0.2023377176374197,0.009765923023223877
2001-08,-0.09186071343719959,-0.020447401329874992,-0.0714133121073246
2001-09,-0.11963255703449249,-0.11993774212896824,0.00030518509447574615
2001-10,-0.1315347757190466,-0.06469924002885818,-0.06683553569018841
2001-11,-0.1315347757190466,-0.08117923513054848,-0.050355540588498116
2001-12,-0.1348918117582798,-0.14557329006493092,0.010681478306651115
2002-01,-0.1910458691418171,-0.23041474632918835,0.039368877187371254
2002-02,-0.19287697970867157,-0.1422162540256977,-0.05066072568297386
2002-03,-0.158696249127388,-0.014648884534835815,-0.14404736459255219
2002-04,-0.11169774457812309,-0.0158696249127388,-0.09582811966538429
2002-05,-0.09002960287034512,-0.0317392498254776,-0.058290353044867516
2002-06,-0.12573625892400742,-0.12115848250687122,-0.004577776417136192
2002-07,-0.17426068894565105,-0.15900143422186375,-0.015259254723787308
2002-08,-0.03906369209289551,-0.0555436871945858,0.016479995101690292
2002-09,-0.04455702379345894,-0.028077028691768646,-0.016479995101690292
2002-10,-0.008545182645320892,-0.005798516795039177,-0.0027466658502817154
2002-11,-0.13794366270303726,-0.12970366515219212,-0.008239997550845146
2002-12,-0.22339548915624619,-0.19623401574790478,-0.027161473408341408
2003-01,-0.21454512141644955,-0.18005920574069023,-0.034485915675759315
2003-02,-0.13061922043561935,-0.06134220398962498,-0.06927701644599438
2003-03,-0.14435254968702793,-0.1263466291129589,-0.018005920574069023
2003-04,-0.12329477816820145,-0.15350810252130032,0.03021332435309887
2003-05,-0.13214514590799809,-0.11871700175106525,-0.01342814415693283
2003-06,-0.1666310615837574,-0.12939848005771637,-0.03723258152604103
2003-07,-0.10589922778308392,-0.1229895930737257,0.017090365290641785
2003-08,-0.12176885269582272,-0.16052735969424248,0.03875850699841976
2003-09,-0.02929776906967163,-0.031128879636526108,0.001831110566854477
2003-10,0.025940733030438423,0.00946073792874813,0.016479995101690292
2003-11,0.042420728132128716,0.07019257172942162,-0.0277718435972929
2003-12,-0.052797021344304085,-0.07263405248522758,0.0198370311409235
2004-01,-0.07812738418579102,-0.16632587648928165,0.08819849230349064
2004-02,-0.17975402064621449,-0.198370311409235,0.018616290763020515
2004-03,-0.22797326557338238,-0.1898251287639141,-0.03814813680946827
2004-04,-0.22888882085680962,-0.2056947536766529,-0.023194067180156708
2004-05,-0.10376293212175369,-0.10925626382231712,0.005493331700563431
2004-06,-0.1428266242146492,-0.08026367984712124,-0.06256294436752796
2004-07,-0.15594958327710629,-0.14893032610416412,-0.0070192571729421616
2004-08,-0.15045625157654285,-0.12085329741239548,-0.029602954164147377
2004-09,-0.11658070608973503,-0.08850367739796638,-0.028077028691768646
2004-10,-0.07049775682389736,-0.04272591322660446,-0.0277718435972929
2004-11,-0.1071199681609869,-0.07812738418579102,-0.028992583975195885
2004-12,-0.19409772008657455,-0.1831110566854477,-0.010986663401126862
2005-01,-0.18402661196887493,-0.15259254723787308,-0.031434064731001854
2005-02,-0.15442365780472755,-0.13336588628590107,-0.021057771518826485
2005-03,-0.14557329006493092,-0.21393475122749805,0.06836146116256714
2005-04,-0.1626636553555727,-0.15320291742682457,-0.00946073792874813
2005-05,-0.16815698705613613,-0.17273476347327232,0.004577776417136192
2005-06,-0.14526810497045517,-0.16754661686718464,0.02227851189672947
2005-07,-0.16022217459976673,-0.17578661441802979,0.015564439818263054
2005-08,-0.13702810741961002,-0.138248847797513,0.0012207403779029846
2005-09,-0.055238502100110054,-0.05005035549402237,-0.005188146606087685
2005-10,-0.08575701154768467,-0.09063997305929661,0.0048829615116119385
2005-11,-0.14587847515940666,-0.10620441287755966,-0.039674062281847
2005-12,-0.18524735234677792,-0.1672414317727089,-0.018005920574069023
2006-01,-0.26093325577676296,-0.23712881840765476,-0.0238044373691082
2006-02,-0.21942808292806149,-0.21546067669987679,-0.0039674062281847
2006-03,-0.20264290273189545,-0.1898251287639141,-0.012817773967981339
2006-04,-0.22797326557338238,-0.18127994611859322,-0.04669331945478916
2006-05,-0.17639698460698128,-0.11566515080630779,-0.060731833800673485
2006-06,-0.19623401574790478,-0.17548142932355404,-0.02075258642435074
2006-07,-0.20783104933798313,-0.20142216235399246,-0.006408886983990669
2006-08,-0.14831995591521263,-0.1467940304428339,-0.0015259254723787308
2006-09,-0.024414807558059692,-0.09063997305929661,0.06622516550123692
2006-10,-0.04455702379345894,-0.07049775682389736,0.025940733030438423
2006-11,-0.10071108117699623,-0.11261329986155033,0.0119022186845541
2006-12,-0.17334513366222382,-0.15106662176549435,-0.02227851189672947
2007-01,-0.20783104933798313,-0.18433179706335068,-0.023499252274632454
2007-02,-0.19226660951972008,-0.21240882575511932,0.020142216235399246
2007-03,-0.2182073425501585,-0.22186956368386745,0.003662221133708954
2007-04,-0.1434369944036007,-0.10345774702727795,-0.039979247376322746
2007-05,-0.16052735969424248,-0.119022186845541,-0.04150517284870148
2007-06,-0.16022217459976673,-0.14069032855331898,-0.019531846046447754
2007-07,-0.13916440308094025,-0.14007995836436749,0.0009155552834272385
2007-08,-0.138248847797513,-0.13580736704170704,-0.0024414807558059692
2007-09,-0.10437330231070518,-0.07446516305208206,-0.029908139258623123
2007-10,-0.016174810007214546,0.03814813680946827,-0.054322946816682816
2007-11,-0.09887997061014175,-0.09613330475986004,-0.0027466658502817154
2007-12,-0.13122959062457085,-0.1593066193163395,0.028077028691768646
2008-01,-0.15655995346605778,-0.11780144646763802,-0.03875850699841976
2008-02,-0.17151402309536934,-0.13275551609694958,-0.03875850699841976
2008-03,-0.19653920084238052,-0.21454512141644955,0.018005920574069023
2008-04,-0.2102725300937891,-0.17822809517383575,-0.032044434919953346
2008-05,-0.22919400595128536,-0.18860438838601112,-0.04058961756527424
2008-06,-0.16846217215061188,-0.15900143422186375,-0.00946073792874813
2008-07,-0.07446516305208206,-0.048829615116119385,-0.025635547935962677
2008-08,-0.10193182155489922,-0.08545182645320892,-0.016479995101690292
2008-09,-0.06714072078466415,0.0119022186845541,-0.07904293946921825
2008-10,-0.06561479531228542,-0.0012207403779029846,-0.06439405493438244
2008-11,-0.08575701154768467,-0.03723258152604103,-0.04852443002164364
2008-12,-0.15686513856053352,-0.13672292232513428,-0.020142216235399246
2009-01,-0.21637623198330402,-0.16876735724508762,-0.0476088747382164
2009-02,-0.23194067180156708,-0.21881771273911,-0.013122959062457085
2009-03,-0.20538956858217716,-0.16937772743403912,-0.036011841148138046
2009-04,-0.22095400840044022,-0.20874660462141037,-0.012207403779029846
2009-05,-0.24109622463583946,-0.19745475612580776,-0.0436414685100317
2009-06,-0.1309244055300951,-0.11413922533392906,-0.01678518019616604
2009-07,-0.08392590098083019,-0.08697775192558765,0.0030518509447574615
2009-08,-0.020142216235399246,-0.018616290763020515,-0.0015259254723787308
2009-09,0.08117923513054848,0.06408886983990669,0.017090365290641785
2009-10,0.0833155307918787,0.12543107382953167,-0.04211554303765297
2009-11,0.07232886739075184,0.09186071343719959,-0.019531846046447754
2009-12,-0.06653035059571266,-0.03875850699841976,-0.0277718435972929
2010-01,-0.18158513121306896,-0.17365031875669956,-0.0079348124563694
2010-02,-0.24689474143087864,-0.2221747487783432,-0.02471999265253544
2010-03,-0.24414807558059692,-0.24170659482479095,-0.0024414807558059692
2010-04,-0.25086214765906334,-0.22064882330596447,-0.03021332435309887
2010-05,-0.24445326067507267,-0.19562364555895329,-0.048829615116119385
2010-06,-0.09552293457090855,-0.058290353044867516,-0.03723258152604103
2010-07,-0.05096591077744961,-0.051271095871925354,0.00030518509447574615
2010-08,-0.014954069629311562,0.021973326802253723,-0.036927396431565285
2010-09,0.00946073792874813,0.09369182400405407,-0.08423108607530594
2010-10,-0.0198370311409235,-0.0119022186845541,-0.0079348124563694
2010-11,-0.06286812946200371,-0.06897183135151863,0.006103701889514923
2010-12,-0.15717032365500927,-0.14984588138759136,-0.007324442267417908
2011-01,-0.2963347267359495,-0.2725302893668413,-0.0238044373691082
2011-02,-0.24079103954136372,-0.24292733520269394,0.002136295661330223
2011-03,-0.16235847026109695,-0.17883846536278725,0.016479995101690292
2011-04,-0.19592883065342903,-0.21546067669987679,0.019531846046447754
2011-05,-0.18127994611859322,-0.17487105913460255,-0.006408886983990669
2011-06,-0.1541184727102518,-0.16083254478871822,0.006714072078466415
2011-07,-0.1513718068599701,-0.13275551609694958,-0.018616290763020515
2011-08,-0.09613330475986004,-0.10193182155489922,0.005798516795039177
2011-09,-0.12237922288477421,-0.07629627361893654,-0.04608294926583767
2011-10,-0.1342814415693283,-0.06988738663494587,-0.06439405493438244
2011-11,-0.09735404513776302,-0.058290353044867516,-0.03906369209289551
2011-12,-0.08606219664216042,-0.038453321903944016,-0.0476088747382164
2012-01,-0.06897183135151863,-0.10956144891679287,0.04058961756527424
2012-02,-0.16510513611137867,-0.18341624177992344,0.01831110566854477
2012-03,-0.18524735234677792,-0.17944883555173874,-0.005798516795039177
2012-04,-0.1910458691418171,-0.17273476347327232,-0.01831110566854477
2012-05,-0.13061922043561935,-0.12085329741239548,-0.009765923023223877
2012-06,-0.07599108852446079,-0.05767998285591602,-0.01831110566854477
2012-07,-0.025025177747011185,0.04821924492716789,-0.07324442267417908
2012-08,0.019226660951972008,0.04913480021059513,-0.029908139258623123
2012-09,-0.01678518019616604,0.0015259254723787308,-0.01831110566854477
2012-10,0.012207403779029846,0.046388134360313416,-0.03418073058128357
2012-11,-0.0198370311409235,0.056764427572488785,-0.07660145871341228
2012-12,-0.06805627606809139,-0.05005035549402237,-0.018005920574069023
2013-01,-0.15594958327710629,-0.13397625647485256,-0.021973326802253723
2013-02,-0.23224585689604282,-0.19318216480314732,-0.03906369209289551
2013-03,-0.15625476837158203,-0.1071199681609869,-0.04913480021059513
2013-04,-0.11993774212896824,-0.0952177494764328,-0.02471999265253544
2013-05,-0.06591998040676117,-0.06042664870619774,-0.005493331700563431
2013-06,-0.048829615116119385,-0.08178960531949997,0.032959990203380585
2013-07,-0.06653035059571266,-0.019226660951972008,-0.047303689643740654
2013-08,-0.05798516795039177,-0.050355540588498116,-0.007629627361893654
2013-09,-0.06622516550123692,-0.01434369944036007,-0.051881466060876846
2013-10,-0.04150517284870148,-0.003662221133708954,-0.03784295171499252
2013-11,-0.03753776662051678,0.010681478306651115,-0.04821924492716789
2013-12,-0.1071199681609869,-0.08301034569740295,-0.024109622463583946
2014-01,-0.14130069874227047,-0.1355021819472313,-0.005798516795039177
2014-02,-0.2453688159584999,-0.16083254478871822,-0.08453627116978168
2014-03,-0.2307199314236641,-0.1739555038511753,-0.056764427572488785
2014-04,-0.19196142442524433,-0.14984588138759136,-0.04211554303765297
2014-05,-0.09155552834272385,-0.12207403779029846,0.030518509447574615
2014-06,-0.07721182890236378,-0.0872829370200634,0.010071108117699623
2014-07,-0.03814813680946827,-0.06408886983990669,0.025940733030438423
2014-08,-0.10742515325546265,-0.06408886983990669,-0.043336283415555954
2014-09,-0.07324442267417908,-0.005493331700563431,-0.06775109097361565
2014-10,-0.05615405738353729,-0.013733329251408577,-0.042420728132128716
2014-11,-0.016174810007214546,0.0079348124563694,-0.024109622463583946
2014-12,-0.0436414685100317,-0.027161473408341408,-0.016479995101690292
